S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1397,C (Third Level),Automobile,Paper Hanger  Maker ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Cuts wall paper to proper lengths, applies glue 
paste on its back and covers walls and ceilings 
with them for decorative purposes. Selects wall 
paper of suitable colour, design and size and cuts 
it into suitable lengths.","Work is performed outside and  inside both. No hazards are involved Knowledge of color is required. Mobility of the person should be adequate.Incumbent should be able to 
accomplish assigned task efficiently.  The incumbent should 
be considered with aids and appliances. ",TRUE
1398,C (Third Level),Automobile,Auto Locksmith ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Creates, installs, adjusts and services mechanical 
and electronic locks systems both using hand 
tools and special equipment. Disassembles locks 
and open locked doors using a lock pick, change 
the combination of locks by inserting new 
tumblers into them.",Work is performed inside and outside. No hazards are involved. Worker works alone.  The incumbent should be considered with aids and appliances. ,TRUE
1399,C (Third Level),Automobile,Furnace Man ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Operates or tends heating equipment other than 
basic metal, plastic, or food processing 
equipment, includes activities, such as annealing 
glass, drying lumber, curing rubber, removing 
moisture from materials, or boiling soap","Work is performed inside and outside. No hazards are 
involved. Worker works alone and sometimes in a group.  The incumbent should 
be considered with aids and appliances. ",TRUE
1400,C (Third Level),Automobile,Industrial Promotion ,"Sitting (S), Standing (ST), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), BLA",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Both Leg and Arms (BLA_, Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),To do engineering work in the respective field,The work is performed inside and should have functional communication skill with assistive listening devices.  The incumbent should be considered with aids and appliances. ,TRUE
1401,C (Third Level),Automobile,Industrial workman     Grade-I (Trainee)  ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE), Both Leg and Arms (BLA_)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),To do work on manufacturing& production unit  ,"The work is performed inside in hot, humid & cold weather.  The incumbent should be considered with aids and appliances. ",TRUE
1402,C (Third Level),Automobile,Thermist welders  ,"Sitting (S), Standing (ST), Bending (BN), Manipulation with Fingers (MF), Seeing (SE), Both Leg and Arms (BLA_)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),To do welding work. ,The work is performed inside as well as outside. Should have good eyes and Hand Coordination.  The incumbent should be considered with aids and appliances. ,TRUE
1403,C (Third Level),Automobile, Motor Transport  Fitter ,"Sitting (S), Walking (W), Bending (BN), Crawling (CRL), Manipulation with Fingers (MF), Seeing (SE), Both Leg and Arms (BLA_)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),Fitting  of Automobile Equipment  ,The work is performed inside and require good health.  The incumbent should be considered with aids and appliances. ,TRUE
1404,C (Third Level),Automobile,ITI  Trainee(Fitter) ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"To assist the superiors in general fitting work 
involving filling, cutting and threading of ferrous 
or non- ferrous materials Many other jobs 
assigned to him by his superiors from time to 
time.","The work is mostly performed inside in well lighted rooms. The worker usually 
does his work alone. It does not involve any hazard.  Appropriate 
computer software & aids and appliance to be used as per needs.",TRUE
1405,C (Third Level),Automobile,Turner (Senior) ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Operation of the lathe for the manufacture of 
precision parts of power looms/coir processing 
machineries etc., and maintenance of the 
machines.","The work is mostly performed inside in well lighted rooms. The worker usually 
does his work alone. It does not involve any hazard.  Appropriate 
computer software & aids and appliance to be used as per needs.",TRUE
1406,D (Fourth Level),Banking, Bank Clerk ,"Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV), Muscular Dystrophy (MDy)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Bank Clerk maintains various account bookstand documents in banks and attends to banking business relating to current accounts, savings bank accounts, fixed deposits, etc. Posts necessary entries as and when transactions take place in account books, to keep account up-to- date. Receives applications for loans,. Advances, foreign exchange, etc., scrutinizes them for correctness and eligibility and forwards them to superiors for orders. Sorts out bills and chequeens received, and sends them to concerned Ledger Clerks for posting necessary entries. Prepares demand drafts for amounts deposited with bank and puts them to superiors for signatures. Renders periodical statement of accounts to parties or clients. Attends to related correspondence. Prepares daily statement  at close of day’s work showing different transactions attended to. May use calculating machine for totaling of figures. ","The work is performed inside. The work place is 
well lighted and comfortable. The worker usually work alone though some public dealing is required. Bilateral hand activities of the person should be adequate.  The incumbent should be considered with aids and appliances. ",TRUE
1407,D (Fourth Level),Banking,"Ledger Clerk,  Ledger Keeper","Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Ledger Clerk; Ledger Keeper maintains record of financial transactions in ledgers of clients, by making necessary entries in respect of daily transactions. Receives checks, bills and drafts from customers at counter. Ascertains balance at 
credit from records. Makes relevant entries in ledger and submits them for payment order. 
Attends to customers’ queries. Receives bills, cheques, vouchers, etc. From cash section for 
making necessary entries in clients’ ledger account regarding credits or debits, balance at 
credit, etc. Prepares abstract statements from ledgers indicating day’s transaction for tally by cash section. Calculates half yearly interest on customers’ deposits and enters them in ledgers  to make account up-to-date. Sends periodical 
statement of transactions made, opening and closing balances to customers for information. May operate calculating machines. May attend to 
routine correspondence. ","The work is performed inside. The work place is well lighted and comfortable. The worker sally  work alone though some public  ealing is required. Bilateral hand 
activities of the person should be adequate. Should have functional 
",TRUE
1408,D (Fourth Level),Banking,"Cashier , Gen. ","Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),Hard of Hearing (HH),"One Arm (OA), One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Cashier, General makes and receives payments 
and maintains record of cash transaction in 
Bank, office or Commercial and Industrial 
establishments. Receives cash remittances from 
customers. Counts cash and examines currency 
notes and coins to detect counterfeit ones. Makes 
entries in receipt registers, initials vouchers and 
passes them to superiors for signature. Receives 
passed cheques, bills, vouchers etc., and makes 
payment to parties after making entries in 
register. Maintains Cash Book and other Account 
Registers and prepares statement of monetary 
transaction of receipt and payment made during 
day. Verifies statement of account from other 
daily records of actual receipt and payment. 
Draws or deposits money in treasuries or banks. 
Receives foreign currency and makes payment  
in local currencies to clients. Keeps cash and 
other valuables in strong rooms or vaults for safe 
custody. Renders periodical report on cash 
transactions to superiors. Makes payment of 
wages and salaries to staff against acquaintance 
rolls, pay billsetc. ","The work is mostly performed inside. The worker usually  works alone. Mobility 
and bilateral hand activities of the person should be adequate. Incumbent should be considered with aids & appliances. ",TRUE
1409,D (Fourth Level),Banking,"Cashier ,  Bank Shroff ","Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),Hard of Hearing (HH),"One Arm (OA), One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Cashier, Bank; Shroff receives and makes payment in bank to customers against pay-in 
slips, withdrawal  slips, cheques, bills, drafts, vouchers, etc., and maintains account of daily 
transactions. Receives at counter, cash and pay-in slips from customers, counts money and examines currency notes or coins to detect counterfeit ones. Makes payment to customers against passed cheques, bills, vouchers, etc. Received from different sections of bank after making necessary entries in register. Affixes appropriate rubber stamp on cheques, bills etc. To indicate payment. Closes accounts at end of day and totals entries in registers to show day’s receipts and payments. Prepares accounts statements and sends them to superiors after tallying with records. Hands over cash in hand to Cashier General for keeping it in safe custody. Sends paid cheques, bills, vouchers, slips etc. To ledger clerk for posting necessary debit or credit entries. May operate calculating machine. May post entries in ledgers. ","The work is mostly performed inside .The worker usually  works 
alone. Mobility and bilateral hand activities of the person should be 
adequate. Incumbent should be considered with aids & appliances.",TRUE
1410,D (Fourth Level),Banking,"Cashier ,  Cash Counter;  Cash Clerk And  Clerk, Cash Counter ","Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),Hard of Hearing (HH),"One Arm (OA), One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Cashier, Cash Counter; Cash Clerk; Clerk, Cash Counter; receives cash in payment against goods sold or services rendered in shop, firm or establishment. Receives cash in payment against goods sold or services rendered, ascertains amount from bill or from other sources prescribed, counts cash, detects counterfeit coins. Issues receipt for payment received. Maintains daily cash account of cash in hand against book record. Deposits money in Treasury or Bank as and when necessary.",The work is mostly performed inside .The worker usually  works alone. Mobility and bilateral hand activities of the person should be adequate. Incumbent should be considered with aids & appliances,TRUE
1411,D (Fourth Level),Banking,"Teller, Bank ","Sitting (S), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Teller  Bank  pays  out  money  up  to  specified limit in bank at pay counter to depositors or their  Authorized persons,  presenting  withdrawal  
forms  or cheques and maintains   up-to-date   account   of   payments     made. Receives 
cheques or withdrawal forms from payees and compares signatures with specimens retained in   bank. Verifies depositor’s balance from ledger 
book and  pays out money. Makes debit entries in depositor’s   account card and draws up-togate balance. Prepares account of amount drawn from 
Cashier and money disbursed  and submits  it  to  Supervisor.  May  make  debit  entries  in depositor’s personal account book. ","The work is mostly performed inside .The worker usually  works 
alone. Should have functional communication skills with aids and devices. The 
incumbent should be considered with aids and appliances.",TRUE
1412,D (Fourth Level),Banking,Money Tester ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Seeing (SE), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Money Tester tests coins and currency notes to detect counterfeit ones in Bank, Treasury, etc. Holds currency notes against light to identify 
genuine water colour mark on paper. Checks 
serial numbers, signatures, colour combination, etc. Of currency notes to ascertain 
genuineness. Tests doubtful coins by striking against metal or hard substance. Sends forged or counterfeit currency notes and coins to superiors 
for destruction .Withdraws, from circulation all mutilated, soiled and damaged notes and base coins. Counts and bundles coins and currency 
notes in prescribed quantities. Delivers genuine  and spurious currency notes and coins separately to Cashier, General for further action. May cut 
counterfeit coins with cutting machine ",The work is mostly performed inside .The worker usually works alone. The incumbent should be considered with aids and appliances. Communication skills desirable.,TRUE
1413,D (Fourth Level),Banking, Junior Technical  Asst. (Credit,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"All Technical work relating co- operative credit 
at secretariat level","Mainly desk job, performed under supervision. Mobility and bilateral hand activities should bead equate.  The incumbent should be considered with aids and appliances. ",TRUE
